5230,知本,南迴線
5240,康樂,南迴線
6000,臺東,東部幹線-台東
6010,山里,東部幹線-台東
6020,鹿野,東部幹線-台東
6030,瑞源,東部幹線-台東
6040,瑞和,東部幹線-台東
6050,關山,東部幹線-台東
6060,海端,東部幹線-台東
6070,池上,東部幹線-台東
6080,富里,東部幹線-花蓮
6090,東竹,東部幹線-花蓮
6100,東里,東部幹線-花蓮
6110,玉里,東部幹線-花蓮
6120,三民,東部幹線-花蓮
6130,瑞穗,東部幹線-花蓮
6140,富源,東部幹線-花蓮
6150,大富,東部幹線-花蓮
6160,光復,東部幹線-花蓮
6170,萬榮,東部幹線-花蓮
6180,鳳林,東部幹線-花蓮
6190,南平,東部幹線-花蓮
6200,林榮新光,東部幹線-花蓮
6210,豐田,東部幹線-花蓮
6220,壽豐,東部幹線-花蓮
6230,平和,東部幹線-花蓮
6240,志學,東部幹線-花蓮
6250,吉安,東部幹線-花蓮
7000,花蓮,東部幹線-花蓮
7010,北埔,東部幹線-花蓮
7020,景美,東部幹線-花蓮
7030,新城,東部幹線-花蓮
7040,崇德,東部幹線-花蓮
7050,和仁,東部幹線-花蓮
7060,和平,東部幹線-花蓮
7070,漢本,東部幹線-花蓮
7080,武塔,東部幹線-花蓮
7090,南澳,東部幹線-宜蘭&宜蘭縣
7100,東澳,東部幹線-宜蘭&宜蘭縣
7110,永樂,東部幹線-宜蘭&宜蘭縣
7120,蘇澳,東部幹線-宜蘭&宜蘭縣
7130,蘇澳新,東部幹線-宜蘭&宜蘭縣
7140,新馬,東部幹線-宜蘭&宜蘭縣
7150,冬山,東部幹線-宜蘭&宜蘭縣
7160,羅東,東部幹線-宜蘭&宜蘭縣
7170,中里,東部幹線-宜蘭&宜蘭縣
7180,二結,東部幹線-宜蘭&宜蘭縣
7190,宜蘭,東部幹線-宜蘭&宜蘭縣
7200,四城,東部幹線-宜蘭&宜蘭縣
7210,礁溪,東部幹線-宜蘭&宜蘭縣
7220,頂埔,東部幹線-宜蘭&宜蘭縣
7230,頭城,東部幹線-宜蘭&宜蘭縣
7240,外澳,東部幹線-宜蘭&宜蘭縣
7250,龜山,東部幹線-宜蘭&宜蘭縣
7260,大溪,東部幹線-宜蘭&宜蘭縣
7270,大里,東部幹線-宜蘭&宜蘭縣
7280,石城,東部幹線-宜蘭&宜蘭縣
7290,福隆,東部幹線-宜蘭&宜蘭縣
7300,貢寮,東部幹線-宜蘭&宜蘭縣
7310,雙溪,東部幹線-宜蘭&宜蘭縣
7320,牡丹,東部幹線-宜蘭&宜蘭縣
7330,三貂嶺,東部幹線-宜蘭&宜蘭縣
7331,大華,東部幹線-宜蘭&宜蘭縣
7332,十分,東部幹線-宜蘭&宜蘭縣
7333,望古,東部幹線-宜蘭&宜蘭縣
7334,嶺腳,東部幹線-宜蘭&宜蘭縣
7335,平溪,東部幹線-宜蘭&宜蘭縣
7336,菁桐,東部幹線-宜蘭&宜蘭縣
7350,猴硐,東部幹線-宜蘭&宜蘭縣
7360,瑞芳,東部幹線-宜蘭&宜蘭縣
7361,海科館,其他
7362,八斗子,其他
7380,四腳亭,其他
7390,暖暖,其他
